depth,model_age,co2
1936.8333333333333,166858.66666666666,190.1
1940.4144144144145,167543.88288288287,186.7
1943.461187214612,168169.3105022831,183.8
1946.8809523809523,168886.11904761905,196.6
1961.1330049261085,171816.26108374386,197.8
1971.9317073170732,174164.11219512194,197.7
1981.1300448430493,176204.2600896861,196.0
1986.0222222222221,177335.3111111111,190.3
1989.136563876652,178072.4537444934,189.4
1990.2903225806451,178328.0,190.1
1998.9686098654709,180391.96412556054,207.7
2006.7666666666667,182299.36666666667,213.2
2011.142857142857,183384.7142857143,217.7
2015.0564516129032,184296.20967741936,198.1
2018.7434944237918,185132.33828996282,199.7
2026.1906614785992,186545.45914396888,203.4
2036.6302521008404,188551.98319327732,210.7
2047.1352941176472,190649.32941176472,231.3
2055.675675675676,192459.16216216216,231.4
2058.5668202764978,193027.12903225806,220.3
2064.9589743589745,194190.4923076923,218.0
2076.361809045226,196073.08040201006,226.5
2079.279792746114,196525.36787564767,220.0
2087.4853801169593,197809.1754385965,226.4
2091.447204968944,198452.34161490682,241.2
2094.616352201258,198978.1635220126,242.6
2112.0243902439024,202361.9512195122,250.9
2117.292079207921,203433.3712871287,239.1
2123.2165898617513,204528.20276497694,247.6
2129.0045871559632,205575.82110091744,244.4
2131.1090047393363,205952.40284360189,231.9
2133.257575757576,206332.33333333334,232.2
2135.9315789473685,206794.36842105264,228.6
2139.3882978723404,207396.1170212766,226.3
2141.6439790575914,207793.05235602095,229.4
2144.0425531914893,208205.1489361702,231.4
2147.211111111111,208730.83333333334,238.1
2148.277777777778,208907.38888888888,237.2
2151.9944444444445,209533.07777777777,230.0
2153.707182320442,209816.39226519337,240.5
2156.022099447514,210207.73480662983,242.2
2158.965317919075,210704.1387283237,244.6
2160.090361445783,210897.90361445784,243.9
2163.35838150289,211474.71676300577,247.2
2164.4821428571427,211672.3392857143,252.0
2167.1011904761904,212148.61904761905,246.9
2169.3779069767443,212565.4011627907,239.5
2171.3567251461986,212922.2105263158,257.4
2175.1348314606744,213575.65168539327,243.4
2180.9358288770054,214557.89839572192,251.2
2185.6067415730336,215420.88764044945,241.4
2188.859756097561,216073.68902439025,240.3
2190.4876543209875,216417.87037037036,242.6
2193.277777777778,217023.94444444444,247.5
2196.122807017544,217659.38596491228,251.7
2198.050279329609,218093.56424581006,251.1
2201.3174603174602,218884.26984126985,245.3
2206.2010050251256,220202.10050251256,240.5
2215.477732793522,223045.3967611336,214.1
2218.4411764705883,223968.79411764705,216.1
2221.740983606557,224903.84262295082,207.1
2223.9455782312925,225461.3401360544,208.8
2228.1420118343194,226562.4674556213,205.6
2234.941368078176,228569.63843648208,203.3
2237.5210084033615,229292.2605042017,215.7
2241.338403041825,230424.42965779468,235.5
2244.0395136778116,231177.2218844985,234.5
2245.0,231450.0,233.1
2247.2830188679245,232094.24528301886,224.5
2252.6676829268295,233499.25914634147,232.4
2255.8046357615895,234265.30794701987,233.9
2257.957095709571,234776.87458745873,241.6
2271.831223628692,237816.55696202532,245.2
2274.76,238440.68,252.1
2277.5782608695654,239037.2304347826,241.4
2280.3257918552035,239578.5520361991,247.4
2282.795652173913,240051.1739130435,243.1
2285.3693693693695,240527.74774774775,239.1
2288.3765690376567,241040.62761506275,245.6
2290.451923076923,241364.59615384616,245.8
2292.7114427860697,241710.85074626867,247.4
2295.214285714286,242097.5,252.8
2300.6319018404906,242985.89570552149,259.7
2303.4113475177305,243445.75177304965,263.2
2307.7974683544303,244280.48101265822,279.0
2309.9872611464966,244745.2356687898,280.2
2314.766666666667,245884.56666666668,263.7
2317.1403508771928,246554.22807017545,252.3
2319.4950495049507,247270.54455445544,249.9
2321.9752475247524,247987.8712871287,236.7
2324.451612903226,248698.7741935484,230.4
2326.9871794871797,249465.03846153847,219.4
2334.828671328671,252104.1783216783,214.7
2342.808988764045,254836.05617977527,200.2
2345.4085714285716,255734.45142857142,213.9
2347.781914893617,256539.68617021278,195.4
2350.2357723577234,257342.56910569104,196.7
2352.7471264367814,258149.09195402297,195.4
2358.116991643454,259939.4791086351,199.0
2360.4314868804663,260735.6851311953,201.9
2362.867924528302,261555.03773584907,204.0
2367.6436781609195,263214.62068965513,203.9
2372.4927113702624,264759.13119533524,209.6
2374.157593123209,265309.7936962751,205.7
2377.3972602739727,266428.6438356164,208.9
2379.8664596273293,267308.72360248445,214.6
2384.8652037617553,269218.56426332286,228.1
2388.296511627907,270563.38372093026,199.9
2390.2118644067796,271348.71186440677,211.7
2393.229381443299,272612.02835051547,188.7
2395.105943152455,273396.7545219638,187.2
2397.5530303030305,274400.9772727273,194.2
2400.2004830917876,275476.190821256,198.8
2402.662037037037,276473.4212962963,184.7
2405.0501193317423,277438.5966587112,190.4
2407.4242424242425,278397.2121212121,193.9
2409.807511737089,279361.77464788733,194.1
