depth,d18O,age
180.95,-50.74,5.1691
181.5,-49.85,5.189500000000001
182.05,-50.46,5.2097500000000005
182.6,-49.86,5.229
183.15,-50.61,5.2484
183.7,-50.42,5.268199999999999
184.25,-50.16,5.28775
184.8,-52.12,5.307
185.35,-51.23,5.3266
185.9,-51.41,5.3464
186.45,-50.56,5.3671
187.0,-51.56,5.388
187.55,-52.2,5.4094500000000005
188.1,-51.06,5.4308
188.65,-50.48,5.4517
189.2,-49.54,5.4719999999999995
189.75,-50.65,5.49125
190.3,-50.49,5.5102
190.85,-51.11,5.528899999999999
191.4,-50.57,5.5484
191.95,-50.54,5.5682
192.5,-51.11,5.5885
193.05,-50.07,5.6088000000000005
193.6,-51.01,5.6286
194.15,-49.35,5.64795
194.7,-51.17,5.666099999999999
195.25,-49.8,5.6845
195.8,-49.76,5.703200000000001
196.35,-51.2,5.7226
196.9,-50.14,5.742400000000001
197.45,-49.96,5.7622
198.0,-50.15,5.782
198.55,-50.8,5.8012500000000005
199.1,-51.11,5.8206999999999995
199.65,-51.02,5.84105
200.2,-51.7,5.8618
200.75,-50.88,5.88325
201.3,-50.02,5.904100000000001
201.85,-50.55,5.924449999999999
202.4,-50.83,5.9444
202.95,-51.12,5.9642
203.5,-50.36,5.984500000000001
204.05,-50.05,6.0048
204.6,-51.6,6.0245999999999995
205.15,-49.8,6.04425
205.7,-51.25,6.0634999999999994
206.25,-50.95,6.08275
206.8,-50.89,6.102
207.35,-50.42,6.12195
207.9,-51.01,6.1423000000000005
208.45,-51.37,6.1621999999999995
209.0,-50.35,6.182
209.55,-50.7,6.202350000000001
210.1,-51.54,6.2227
210.65,-51.72,6.24305
211.2,-50.62,6.263599999999999
211.75,-51.53,6.2844999999999995
212.3,-51.11,6.3054
212.85,-50.79,6.3263
213.4,-49.92,6.3472
213.95,-50.48,6.3681
214.5,-51.65,6.388
215.05,-51.44,6.40785
215.6,-49.77,6.4281999999999995
216.15,-50.84,6.44855
216.7,-51.54,6.4689
217.25,-51.18,6.48925
217.8,-52.15,6.509600000000001
218.35,-50.63,6.53065
218.9,-51.57,6.5521
219.45,-51.97,6.57445
220.0,-50.01,6.597
220.55,-50.06,6.618450000000001
221.1,-50.51,6.6396
221.65,-51.47,6.6594
222.2,-51.34,6.679799999999999
222.75,-51.16,6.70125
223.3,-51.24,6.723000000000001
223.85,-50.88,6.745
224.4,-49.92,6.7658000000000005
224.95,-50.44,6.78615
225.5,-49.65,6.8055
226.05,-50.97,6.824800000000001
226.6,-51.06,6.8446
227.15,-51.25,6.8647
227.7,-50.85,6.8856
228.25,-50.79,6.906750000000001
228.8,-51.62,6.9282
229.35,-51.01,6.94895
229.9,-50.87,6.9693000000000005
230.45,-51.23,6.990549999999999
231.0,-51.34,7.012
231.55,-50.84,7.03345
232.1,-51.63,7.0550999999999995
232.65,-52.63,7.07765
233.2,-51.42,7.1004
233.75,-51.16,7.1235
234.3,-51.66,7.146000000000001
234.85,-51.42,7.168
235.4,-51.61,7.19
235.95,-50.76,7.212
236.5,-49.67,7.2335
237.05,-50.94,7.25485
237.6,-51.93,7.2752
238.15,-51.13,7.296
238.7,-51.73,7.318
239.25,-51.57,7.3405000000000005
239.8,-50.46,7.363600000000001
240.35,-51.43,7.385999999999999
240.9,-51.61,7.408
241.45,-51.01,7.43
242.0,-50.31,7.452
242.55,-51.09,7.473450000000001
243.1,-49.76,7.4944999999999995
243.65,-50.83,7.51375
