x,bed,surface,u_sur
91000.0,123.96843529587919,2362.1563776097014,1.304501710110169
92000.0,128.26969568363694,2358.5776973870957,1.3245521245410266
93000.0,131.5444372929558,2354.9644721650893,1.3447959606067503
94000.0,133.5993691606442,2351.3456149295525,1.3652142033338386
95000.0,134.36178743061615,2347.7476848055076,1.3857871051256856
96000.0,133.87911785335365,2344.1920556289133,1.4064954520565287
97000.0,132.30212718747703,2340.6927024911547,1.4273200093258631
98000.0,129.85665036724126,2337.2550776208127,1.4482418595500766
99000.0,126.81142215357819,2333.8761699121187,1.469243145957034
100000.0,123.44617142495375,2330.545436269746,1.4903062972654713
101000.0,120.02387315915513,2327.2466816883116,1.5114142350076998
102000.0,116.77215710573327,2323.9603820425586,1.532551834795684
103000.0,113.87221208933931,2320.6664117468877,1.553703977599353
