depth,age
1046,9118
1047,9129
1048,9139
1049,9150
1050,9162
1051,9171
1052,9181
1053,9192
1054,9203
1055,9214
1056,9225
1057,9235
1058,9245
1059,9257
1060,9269
1061,9280
1062,9292
1063,9304
1064,9315
1065,9328
1066,9339
1067,9351
1068,9362
1069,9372
1070,9382
1071,9393
1072,9404
1073,9415
1074,9425
1075,9435
1076,9447
1077,9458
1078,9469
1079,9480
1080,9491
1081,9500
1082,9511
1083,9522
1084,9536
1085,9547
1086,9557
1087,9568
1088,9578
1089,9592
1090,9602
1091,9612
1092,9622
1093,9634
1094,9646
1095,9656
1096,9667
1097,9679
1098,9691
1099,9702
1100,9713
1101,9726
1102,9737
1103,9748
1104,9759
1105,9772
1106,9782
1107,9794
1108,9805
1109,9816
1110,9832
1111,9844
1112,9857
1113,9868
1114,9879
1115,9892
1116,9903
1117,9915
1118,9927
1119,9939
1120,9952
1121,9964
1122,9976
1123,9989
1124,10001
1125,10013
1126,10025
1127,10038
1128,10051
1129,10064
1130,10077
1131,10090
1132,10102
1133,10115
1134,10126
1135,10139
1136,10152
1137,10166
1138,10176
1139,10189
1140,10201
1141,10213
1142,10226
1143,10238
1144,10251
1145,10265
1146,10276
1147,10289
1148,10302
1149,10314
1150,10326
1151,10338
1152,10352
1153,10365
1154,10378
1155,10392
1156,10406
1157,10419
1158,10432
1159,10445
1160,10459
1161,10473
1162,10486
1163,10499
1164,10514
1165,10527
1166,10541
1167,10554
1168,10567
1169,10580
1170,10594
1171,10608
1172,10622
1173,10635
1174,10649
1175,10663
1176,10674
1177,10688
1178,10702
1179,10715
1180,10730
1181,10745
1182,10758
1183,10772
1184,10786
1185,10801
1186,10815
1187,10829
1188,10843
1189,10856
1190,10870
1191,10884
1192,10898
1193,10912
1194,10927
1195,10942
1196,10957
1197,10972
1198,10986
1199,11001
1200,11015
1201,11029
1202,11045
1203,11059
1204,11074
1205,11089
1206,11103
1207,11118
1208,11133
1209,11148
1210,11164
1211,11178
1212,11192
1213,11207
1214,11224
1215,11239
1216,11253
1217,11268
1218,11283
1219,11298
1220,11314
1221,11330
1222,11345
1223,11361
1224,11377
1225,11393
1226,11409
1227,11427
1228,11444
1229,11461
1230,11480
1231,11496
1232,11512
1233,11528
1234,11544
1235,11560
1236,11576
1237,11591
1238,11605
1239,11620
1240,11635
1241,11651
1242,11666
1243,11684
1244,11706
1245,11733
1246,11760
1247,11789
1248,11818
1249,11846
1250,11876
1251,11908
1252,11938
1253,11966
1254,11996
1255,12026
1256,12053
1257,12083
1258,12113
1259,12141
1260,12173
1261,12202
1262,12235
1263,12265
1264,12293
1265,12324
1266,12354
1267,12388
1268,12418
1269,12444
1270,12470
1271,12501
1272,12531
1273,12564
1274,12595
1275,12630
1276,12659
1277,12688
1278,12715
1279,12744
1280,12772
1281,12803
1282,12830
1283,12854
1284,12880
1285,12901
1286,12922
1287,12942
1288,12964
1289,12985
1290,13001
1291,13022
1292,13044
1293,13064
1294,13087
1295,13112
1296,13136
1297,13161
1298,13185
1299,13210
1300,13234
1301,13260
1302,13281
1303,13301
1304,13320
1305,13340
1306,13360
1307,13382
1308,13403
1309,13424
1310,13444
1311,13465
1312,13486
1313,13506
1314,13525
1315,13545
1316,13565
1317,13587
1318,13611
1319,13635
1320,13658
1321,13679
1322,13698
1323,13718
1324,13739
1325,13758
1326,13777
1327,13798
1328,13816
1329,13836
1330,13855
1331,13873
1332,13890
1333,13909
1334,13929
1335,13949
1336,13974
1337,13997
1338,14020
1339,14046
1340,14072
1341,14092
1342,14111
1343,14133
1344,14152
1345,14172
1346,14193
1347,14210
1348,14228
1349,14246
1350,14265
1351,14283
1352,14298
1353,14314
1354,14332
1355,14348
1356,14365
1357,14382
1358,14400
1359,14417
1360,14435
1361,14452
1362,14467
1363,14483
1364,14501
1365,14518
1366,14533
1367,14549
1368,14564
1369,14579
1370,14595
1371,14613
1372,14630
1373,14649
1374,14668
1375,14688
1376,14720
1377,14749
1378,14780
1379,14806
1380,14837
1381,14867
1382,14900
1383,14935
1384,14972
1385,15006
1386,15046
1387,15081
